cycle,country,irrigation,sun,temperature,yield
C3,Netherlands,4.523427475,426.4515556,16.06098415,8.68
C1,Spain,4.091589067,342.8322416,24.37907061,7.97
C1,Spain,3.461996975,343.2906557,21.94492527,13.14
C5,Spain,4.184813374,454.5552204,14.11790112,7.26
C6,Spain,3.838491551,270.0786787,20.65232499,11.22
C6,Spain,4.206240011,270.377242,16.55391607,9.05
C1,Netherlands,4.190419155,126.6633656,20.37321968,7.4
C5,Netherlands,4.068870448,242.4316619,23.14872547,7.74
C2,Spain,3.657296032,466.6252622,19.43038955,11.95
C5,Spain,3.940379588,454.8100041,21.20931999,10.25
C2,Netherlands,4.185851482,286.3775987,20.71323262,7.88
C3,Netherlands,3.632818963,428.1887392,21.01814609,11.43
C3,Spain,3.570211162,615.2388547,20.05584176,12.29
C1,Netherlands,4.34620104,126.3789369,16.73565607,9.16
C2,Spain,4.68289833,466.7698237,17.656731,10
C2,Netherlands,3.609680358,283.7814228,25.13600121,7
C2,Spain,3.661244895,465.7360255,22.73706711,9.79
C2,Spain,3.456504918,464.051866,28.5580974,5.58
C4,Netherlands,3.798331363,369.8233542,14.83206958,6.73
C4,Netherlands,2.994578015,370.081021,18.46916122,8.29
C3,Netherlands,3.505984948,426.4615023,27.08526944,6.01
C4,Spain,3.929415155,716.6502858,19.68439335,12.28
C1,Spain,3.739000704,343.6667213,21.28419505,11.28
C4,Netherlands,3.91278549,370.7836485,20.94074077,9.49
C6,Netherlands,3.408470678,89.69855957,16.36635133,6.17
C5,Netherlands,4.381798997,241.3394834,22.6523399,6.73
C2,Spain,4.030009173,465.7825439,14.92425469,8.74
C3,Spain,3.742854234,615.766797,20.63105216,13.06
C5,Spain,3.352122249,450.1750599,20.77351203,11.69
C4,Netherlands,3.30703796,370.0577658,17.18446967,7.17
C5,Netherlands,3.494905288,244.0102775,22.885734,10.05
C5,Netherlands,3.855885451,242.3928084,25.18216357,6.61
C5,Netherlands,3.4811054,243.4331146,28.23632614,4.71
C4,Netherlands,4.006635951,369.788561,14.14716654,6.61
C5,Netherlands,3.665555287,241.6058141,18.39806174,9.92
C5,Spain,3.8925534,454.3918129,25.88512417,7.9
C5,Spain,4.100003884,453.7788881,14.74987979,8.03
C1,Spain,4.360915023,342.0227793,17.99634843,11.06
C5,Spain,3.851458617,454.3298264,20.58680623,12.1
C4,Netherlands,3.61660389,371.2783124,22.7610319,9.89
C3,Netherlands,4.092378362,427.1700656,17.49974784,10.16
C6,Netherlands,3.237362494,91.08614822,18.29979864,5.76
C6,Spain,4.177813795,268.5536792,17.09335688,10.72
C6,Spain,2.611198725,268.9999043,19.71979353,6.91
C1,Netherlands,3.191375648,127.7305709,20.30720886,7.42
C2,Spain,3.214461213,466.772303,25.24956567,8.5
C6,Spain,4.328106321,270.0417407,23.14228057,8.69
C2,Netherlands,2.769351185,285.4392825,22.46836455,7.2
C4,Spain,3.835639426,713.648372,20.96952184,12.05
C1,Netherlands,3.815409452,128.4171249,18.59267504,9.03
C6,Spain,3.842311155,270.9764202,15.16998536,7.34
C1,Netherlands,3.480125944,128.9252208,17.85069103,7.94
C2,Spain,4.623200088,466.5729024,17.09522709,10.45
C3,Spain,4.549370456,616.514808,17.49788219,11.7
C5,Spain,3.384206278,454.283814,17.48470839,8.43
C3,Spain,4.026544995,615.0266183,19.59938661,13.24
C1,Spain,3.386590854,342.9234017,19.11482906,9.49
C6,Netherlands,3.557260092,88.84304492,18.67893027,8.02
C4,Netherlands,3.932761108,370.0235952,24.87131155,6.74
C3,Netherlands,3.30020374,427.4093566,17.1954484,7.52
C3,Netherlands,4.060280287,425.4516028,16.68990414,9.37
C6,Spain,4.030389801,270.8299764,15.28707746,8.24
C1,Spain,3.386935637,342.7317288,25.88613551,7.37
C6,Spain,2.69893488,271.2591371,17.09094167,7.54
C2,Netherlands,4.004773307,284.4094759,20.9655702,9.61
C1,Spain,3.949056203,342.3147403,19.04585369,12.25
C3,Spain,4.214574096,616.9883005,20.79944795,8.87
C3,Spain,3.384111019,615.7904325,21.6748056,12.12
C4,Netherlands,3.622693308,370.8704781,24.13738031,8.35
C3,Spain,3.026835343,615.217507,20.33521038,8.04
C4,Spain,4.251242918,716.5525022,18.57896768,11.79
C3,Spain,4.340536207,613.3778724,16.92145998,12.35
C2,Spain,4.830433302,464.2972667,21.30913552,7.74
C3,Netherlands,3.764558918,425.4164518,16.23755272,7.95
C4,Netherlands,3.714718312,371.8723321,24.40058612,6.72
C4,Netherlands,3.675103892,369.5042555,14.17462508,6.35
C4,Netherlands,3.97148904,369.3377332,24.22276597,7.21
C3,Spain,3.570171575,614.633362,17.39561589,9.8
C4,Spain,3.791434265,714.9797466,20.14913384,12.92
C5,Spain,4.245965213,453.3576649,22.64543004,8.15
C2,Netherlands,2.228141084,286.8619492,23.31872519,6.02
C3,Netherlands,3.105229038,426.8059209,19.320912,8.16
C4,Spain,3.659410502,716.5230866,20.26028336,13.75
C2,Netherlands,3.686585942,286.0475862,14.22426383,6.61
C3,Netherlands,3.668352394,425.1057263,18.74955797,11.04
C2,Spain,3.49438384,466.2093513,17.8814653,10.18
C5,Netherlands,2.963394174,242.4552711,19.20661501,7.14
C3,Netherlands,3.492944754,428.0701968,18.30557983,9.64
C4,Spain,3.692261829,716.5087597,16.63634413,9.25
C1,Spain,4.626502648,342.3269677,26.40273819,4.24
C4,Netherlands,3.583032206,372.0230069,19.58716838,11.46
C3,Spain,4.0212415,615.335029,21.62535313,10.44
C4,Spain,3.556853733,714.5501647,25.93956552,7.84
C1,Spain,4.220145023,342.9184192,20.96759453,9.47
C1,Spain,3.935924495,342.6323057,16.16150165,9
C1,Netherlands,3.462490865,126.3520746,23.3782046,8.34
C4,Spain,2.885928673,714.9520506,23.19307884,9.94
C3,Netherlands,3.683913327,425.9921973,19.34844068,11.43
C4,Spain,3.67925236,714.6357492,20.64490566,12.91
C1,Spain,3.395832889,342.6261528,19.54480108,10.09
C5,Spain,3.685843046,454.5911234,17.45490584,10.44
C1,Netherlands,5.168532645,127.3245804,23.04198314,4.55
C6,Spain,3.538572316,268.9053372,22.81237876,10.85
C1,Spain,3.194970711,343.7532141,21.72164214,11.21
C6,Spain,3.70786705,269.9725796,19.84051291,12.54
C3,Spain,4.182554681,616.3877476,19.92835536,10.99
C4,Spain,2.156425258,714.8323438,18.27976572,7.53
C3,Spain,4.44348867,613.1397079,17.9272662,10.87
C4,Netherlands,3.438367012,371.08553,24.28394928,8.44
C6,Netherlands,3.668232266,87.84601144,24.46294744,6.29
C1,Spain,3.749993494,344.4984859,13.79993648,6.48
C1,Spain,2.935625976,340.7724664,22.51759144,9.12
C1,Netherlands,3.405515832,127.2212556,18.60639012,7.62
C4,Netherlands,5.080423548,370.6985936,25.73680651,5.21
C1,Netherlands,4.355845437,128.9991244,17.6625165,9.39
C3,Spain,3.478301059,615.2171586,18.66223622,11.16
C3,Spain,3.909761511,616.0576241,22.847793,8.68
C1,Spain,3.819857748,343.1593169,15.24991234,8.59
C5,Spain,3.674280876,455.747902,22.38480643,11.62
C4,Netherlands,3.591105417,368.092834,22.01524996,10.75
C5,Netherlands,3.761615811,241.5642763,18.33844221,10.49
C6,Spain,3.767595368,270.8413191,22.43878708,9.26
C1,Spain,3.212325065,341.1295107,25.33331357,9.29
C5,Netherlands,4.618500281,242.057776,23.5911939,5.52
C4,Spain,2.381362601,716.1524328,20.43689668,9.1
C6,Spain,3.410928423,269.2422526,16.24418926,7.79
C4,Netherlands,3.499279689,370.809007,25.09938062,6.8
C5,Netherlands,3.727651109,241.4007941,20.16695533,11.5
C6,Spain,3.346365783,272.0212879,19.38018768,9.76
C2,Spain,4.845419593,466.3638,20.72599959,7.43
C6,Spain,3.495300854,269.9381072,17.32728964,8.07
C4,Spain,3.516970281,714.7948459,18.670243,10.37
C1,Spain,3.36654483,343.1353099,22.70470504,11.32
C1,Spain,4.396353703,342.1687129,20.87929865,8.18
C1,Netherlands,3.542492695,126.1638889,23.03383533,8.3
C6,Spain,3.720056847,270.2249865,23.02985688,9.1
C6,Spain,3.438328554,271.0474399,22.92476468,11.18
C2,Spain,3.453483652,465.7158819,16.41717884,8.22
C1,Spain,3.60780784,341.2731556,21.75459495,11.36
C5,Spain,4.358743139,453.1081861,20.07559593,9.14
C2,Spain,3.954756065,466.3188628,15.00525547,8.27
C6,Netherlands,4.20549136,91.15118027,24.05698137,4.5
C6,Netherlands,4.101525797,90.93410866,17.40119897,8.87
C4,Spain,3.405732565,716.6743543,13.72088378,7.24
C2,Netherlands,3.284687784,287.2865612,21.68386979,10.18
C1,Spain,4.175931164,343.3734068,16.80356307,10.39
C1,Spain,4.281554086,343.9801403,14.99711153,7.6
C5,Spain,3.587974721,452.9621348,26.1462995,6.98
C4,Spain,3.809315942,715.9233662,16.4787049,9.1
C4,Spain,3.358611026,714.4029033,20.45813977,11.59
C2,Netherlands,4.181936139,286.000762,18.98232004,10.33
C6,Spain,3.68930441,269.5446133,14.61436011,7.82
C6,Netherlands,4.021748537,89.32654607,18.4461821,9.02
C1,Netherlands,4.067576582,127.6692309,18.81441534,10.83
C1,Netherlands,3.322686194,126.8142361,20.20259779,8.4
C2,Spain,3.324527535,466.124308,22.36999526,11.76
C3,Spain,4.106246589,616.4774732,33.79586354,5.58
C1,Spain,3.728039949,342.5959854,20.44391162,13.19
C4,Netherlands,4.317899231,371.3004825,26.43764629,5.65
C6,Spain,3.964990932,272.3532204,20.52947239,11.28
C2,Spain,3.869450087,464.9441409,21.17755581,11.49
C2,Netherlands,3.769332301,285.0687271,16.34258324,7.6
C5,Netherlands,3.685262227,241.5483444,20.95139292,11.02
C1,Spain,3.28630868,342.8046781,17.87018849,8.93
C6,Netherlands,3.625038096,89.93790608,18.01840209,7.44
C1,Netherlands,3.252713979,124.4526505,19.63146776,7.06
C4,Spain,4.034672791,714.2174254,21.79178595,10.43
C3,Netherlands,4.515423423,426.2931583,21.41543807,6.85
C4,Netherlands,4.917367746,369.727423,18.36204917,7.22
C3,Spain,4.204492304,614.0310157,14.20152007,7.34
C5,Spain,3.950630935,452.5431209,17.68450256,10.5
C4,Spain,3.932427873,715.2841993,19.81356964,12.82
C6,Spain,5.001681693,270.618365,25.48861545,6.31
C6,Netherlands,3.440034504,90.45618792,21.34488672,9.68
C4,Spain,4.072699842,714.7206281,24.79811766,7.97
C1,Netherlands,3.754190315,126.4500779,21.1809969,9.51
C4,Netherlands,3.552677081,370.5640547,19.72080598,10.91
C1,Spain,3.177969823,342.3415143,18.59269147,8.07
C5,Netherlands,3.773737454,242.8780255,27.63575971,5.51
C3,Netherlands,4.351710511,427.3697756,20.05710176,7.81
C4,Netherlands,3.766695912,370.0188162,18.90222921,11.81
C6,Spain,4.457423723,270.0311231,25.44569403,5.46
C6,Spain,4.133977897,269.607112,23.70508456,7.31
C5,Netherlands,3.933566228,243.4960011,21.12836359,9.19
C1,Netherlands,4.038052849,127.948873,20.90466477,8.07
C3,Spain,3.38776985,614.0902355,20.24010648,10.66
C4,Netherlands,2.770861656,369.9786226,15.66058589,6.49
C4,Spain,4.13579541,715.4832382,22.15509483,8.59
C2,Netherlands,3.280073499,286.268763,19.06378029,7.75
C6,Spain,3.411060755,270.4393853,13.853671,6.54
C4,Spain,3.026923369,713.296688,22.59281759,10.44
C5,Spain,3.142672673,454.751042,16.19674061,7.69
C6,Spain,4.501634124,270.9687588,23.50648414,6.36
C6,Netherlands,3.635052253,89.42628481,17.85912102,7.26
C4,Netherlands,4.241630079,369.6541087,21.10521386,7.7
C4,Spain,3.559615635,713.6818507,20.9409635,13.09
C2,Spain,3.79393179,466.1654068,16.86650149,9.52
C2,Spain,4.216211224,466.0717524,19.68111014,9.73
C2,Netherlands,5.083231597,285.3491536,23.81081958,4.1
C4,Netherlands,2.779291291,370.7658164,27.74818226,7.47
C3,Netherlands,3.596885809,423.5796217,13.88965029,6.55
C3,Spain,3.651756566,615.5240649,16.45264331,9.05
C5,Netherlands,4.427641589,241.3277407,21.41655387,6.81
C4,Spain,3.480254977,713.8157287,13.34572333,8.29
C2,Spain,4.216127324,464.5325618,22.97979055,8
C3,Spain,3.998536945,615.4654743,21.07157569,10.2
C4,Netherlands,3.206689888,370.4245536,21.99565387,9.95
C6,Spain,3.679822156,272.7675054,21.48584978,11.97
C6,Netherlands,3.45424318,89.18850327,21.23080901,9.72
C6,Netherlands,3.764530775,89.82153012,15.76544402,5.81
C2,Spain,3.04116019,464.7714321,17.58322064,6.96
C5,Spain,3.585880828,451.9109058,19.91984222,12.07
C3,Spain,2.528366282,614.3321173,18.65193899,7.24
C3,Spain,3.480252866,616.1869497,23.30393252,10.24
C1,Spain,3.858730672,342.3322029,22.02167796,10.67
C2,Spain,4.359397716,467.9836302,18.41623475,9.98
C6,Netherlands,5.029195239,86.56029969,26.74222499,2.23
C1,Spain,3.416945077,343.6372787,21.6922595,11.39
C5,Spain,3.815217357,453.9952877,24.24473801,7.74
C1,Netherlands,2.933060993,126.5285764,25.37168898,7.01
C4,Netherlands,3.341348789,370.2455367,17.13211531,7.93
C3,Netherlands,3.593300557,425.2834829,19.28146894,11.04
C6,Spain,3.453781437,271.2347134,14.98141839,6.53
C6,Netherlands,4.370290635,88.98658824,16.46933069,7.56
C1,Spain,4.38487539,342.8292992,21.11571898,8.44
C1,Spain,3.206494156,342.2759605,20.43007334,9.22
C6,Spain,4.375305947,270.5005865,19.66655067,9.46
C2,Spain,3.472602689,466.170052,22.48700457,11.34
C2,Spain,2.824524173,467.6776583,17.92927009,7.69
C1,Netherlands,4.289842292,124.9623414,19.44388786,8.07
C4,Spain,3.037296823,715.9759933,26.28635071,9.09
C1,Netherlands,2.856935017,126.3474749,20.91472439,5.83
C4,Netherlands,4.357702123,371.4709405,22.08863011,7.32
C1,Spain,3.476479914,343.3828066,22.82531934,9.91
C5,Netherlands,3.792399156,242.8023828,19.75487121,10.93
C5,Netherlands,2.927078957,243.6214947,19.60191842,7.23
C1,Netherlands,4.003137979,125.2908512,19.98006407,9.76
C2,Spain,3.891663019,466.4966372,24.50990004,7.66
C4,Netherlands,3.432175623,371.5996116,18.94573706,9.9
C5,Netherlands,3.551120876,241.5102924,24.95255615,6.96
C4,Netherlands,2.757209837,371.1588784,14.52091577,4.72
C3,Spain,3.795647296,616.1883287,17.78392089,11.55
C6,Spain,4.061929733,270.8614246,25.20877078,7.62
C2,Spain,3.369736927,466.9878536,26.11580653,7.99
C2,Netherlands,4.330629038,285.4487481,17.25604154,10.6
C3,Spain,2.689999508,615.4321205,17.37068679,7.54
C2,Netherlands,4.032399537,285.9532789,22.9330448,7.75
C6,Netherlands,4.283871117,87.95186578,18.92434113,7.91
C5,Spain,4.593469878,452.4351625,17.23134187,10.5
C6,Spain,4.230367498,271.1427021,17.49011685,11.51
C3,Netherlands,2.913058534,424.8228247,18.34014729,7.72
C6,Netherlands,4.431107196,88.80796665,24.02438359,4.21
C6,Netherlands,3.595416901,90.36922122,19.84758097,8.8
C5,Netherlands,3.790839383,242.55827,16.16287304,7.07
C5,Spain,3.189479194,454.0603543,19.02428678,8.68
C6,Spain,4.089237261,268.9542542,18.53718181,11.38
C6,Netherlands,2.92914572,88.85342611,15.28899545,4.35
C3,Spain,4.084134176,615.7753821,23.8747836,8.3
C4,Spain,4.643256594,713.3450561,22.65525787,7.12
C6,Spain,3.545475973,270.9840201,19.64768069,11.13
C4,Spain,3.774170402,716.0804092,22.31135992,11.32
C2,Netherlands,3.394914996,285.5521614,18.69579339,8.06
C3,Spain,3.397872799,615.9635185,26.21042062,7.81
C5,Spain,4.119109553,454.6356417,20.27301055,10.67
C4,Netherlands,3.807898743,371.4826032,15.91170172,7.8
C4,Netherlands,3.689618436,370.2052576,20.02773343,11.65
C2,Netherlands,4.446837401,287.1297042,18.91104429,8.46
C2,Netherlands,3.964385269,285.1993917,14.34653517,6.55
C6,Spain,4.122688295,269.4827865,18.80677769,10.99
C6,Spain,3.03382931,269.8972439,28.03425124,6.15
C2,Netherlands,3.791585543,285.2295194,17.86005231,10.21
C2,Spain,4.238545105,465.6735724,22.56877533,8.34
C3,Spain,3.582347147,616.5429272,16.55862997,9.32
C1,Netherlands,3.970442198,128.5745356,16.7664049,7.64
C4,Netherlands,3.372974232,372.9129423,18.25913277,7.39
C2,Netherlands,4.080039533,284.3250746,13.77619026,5.37
C5,Netherlands,3.829899173,242.4956735,20.10878451,10.85
C4,Spain,3.231408343,714.2602181,27.62028324,7.24
C2,Spain,3.195198825,465.4405041,18.0994373,8.18
C2,Spain,3.384149363,465.0365109,21.96295574,12.13
C3,Spain,3.879400239,615.330912,24.20596224,7.42
C1,Spain,3.73387159,343.8370755,26.32680619,7.08
C1,Spain,3.02459831,342.7533313,14.10453437,5.91
C3,Spain,4.184714608,617.0536271,24.21976812,8.68
C5,Spain,3.245915102,453.1798004,15.39027517,7.8
C1,Spain,4.217842892,343.3430513,18.43614774,12.19
C5,Netherlands,4.08442013,242.3618926,22.79072155,7.04
C4,Spain,4.387109115,714.7319872,18.99164389,9.75
C4,Spain,3.065309572,714.3738778,14.88498388,8.79
C1,Spain,4.961082364,340.843934,22.79791459,6.4
C1,Spain,4.06058166,342.4063494,20.81374808,10
C4,Spain,3.020125351,716.0003531,19.9327067,8.34
C6,Netherlands,4.051278733,89.45739418,19.43526543,8.86
C4,Netherlands,3.934507202,370.8277988,21.52593174,9.26
C1,Netherlands,3.011514179,125.8052201,25.67684735,8.05
C4,Netherlands,4.107329943,369.1060304,19.50205402,11.1
C1,Netherlands,4.409568532,126.1295623,19.18257049,7.55
C6,Netherlands,3.356268172,88.61296043,18.9223632,6.42
C3,Netherlands,3.587128878,426.1218183,17.15151721,7.7
C2,Netherlands,3.450690446,284.7863598,24.02085312,7.73
C1,Spain,2.9074987,341.198943,17.52437514,8.08
C5,Spain,3.086617682,452.6461536,20.79079095,9.59
C1,Spain,3.446205576,342.3523071,23.28103382,10.25
C4,Netherlands,4.084357976,369.6134349,14.11799628,5.87
C5,Spain,4.402217653,453.4215116,20.29922507,9.34
C5,Netherlands,3.563843946,241.7418165,19.3251804,10.75
C2,Netherlands,3.433757177,287.5626459,15.22396838,7.27
C1,Spain,4.064808008,341.2149249,23.80614653,7.66
C3,Spain,3.218341113,615.2170792,19.33265206,8.83
C5,Spain,3.539730707,453.7118919,19.03582278,11.36
C5,Netherlands,3.809422222,243.170103,22.00161431,8.95
C3,Spain,3.300549228,614.6220952,19.72377396,10.48
C5,Netherlands,3.829270308,241.9651352,19.029707,11.14
C4,Netherlands,2.704731587,370.8219258,20.8691927,6.99
C3,Spain,4.65931637,614.0707081,18.92205427,8.55
C4,Netherlands,4.502765825,369.6070139,22.9254771,6.38
C1,Spain,3.987476824,341.2132649,22.9834929,8.91
C6,Spain,4.876407403,271.7166735,22.94293315,6.72
C6,Netherlands,3.632981694,91.72689123,23.40218464,7.61
C6,Netherlands,3.637707105,89.24907082,20.68444138,10.99
C1,Spain,4.0498954,340.5105586,23.82621879,7.72
C1,Netherlands,3.769227888,127.5036128,17.95759325,9.73
C6,Spain,3.450189438,272.9369739,25.6090933,6.33
C4,Netherlands,3.355095272,370.6446252,19.323409,8.44
C5,Netherlands,3.874745777,239.3830463,20.55615636,11.2
C5,Netherlands,3.249685947,243.0590957,16.7250392,6.39
C6,Spain,4.21635848,271.753915,14.37123675,6.21
C3,Spain,3.718446716,615.836696,15.58006848,8.88
C3,Spain,3.880285061,616.137962,13.33266151,7.65
C5,Spain,4.709327763,455.0505019,23.14061859,7.39
C2,Netherlands,4.449764968,284.5337776,23.00042058,6.11
C4,Netherlands,4.172293266,369.2899117,19.46624474,10.22
C4,Spain,3.689697832,716.6443156,21.32744118,11.82
C4,Spain,4.667116785,714.8395811,16.50095048,10.51
C2,Spain,3.284250507,465.3103406,24.2103818,10.54
C3,Spain,3.403612511,615.6879942,21.45345054,12.25
C6,Spain,4.406739352,270.040194,18.83343356,9.49
C3,Spain,3.186988148,614.9538204,24.40895011,10.65
C4,Netherlands,3.060962658,370.6670192,22.41430291,8.9
C6,Netherlands,4.782492532,88.82098756,19.48095288,4.58
C3,Netherlands,3.667063915,426.4730161,18.94082288,11.23
C4,Netherlands,4.749721054,370.690431,17.18034761,8.73
C5,Netherlands,3.143412866,242.146309,16.83910608,6.82
C5,Netherlands,2.972672255,242.6212036,19.80064823,6.84
C3,Netherlands,4.686617817,426.4590113,19.00884435,7.22
C6,Spain,3.38511846,271.4078221,14.99034,6.76
C2,Netherlands,3.391966067,287.123191,18.40248065,7.87
C3,Spain,3.834147385,616.2031766,16.26359607,8.96
C6,Spain,3.612014881,271.616917,23.56491579,8.98
C1,Spain,4.327736269,341.9425162,20.05678984,8
C4,Spain,3.565301538,713.9915675,16.9611636,9.54
C1,Netherlands,4.251165249,126.7780266,16.65956842,8.04
C3,Spain,4.168947946,614.3454862,23.80477834,7.55
C5,Netherlands,3.592360929,242.70667,20.81396925,11.36
C4,Netherlands,3.3123956,371.2979823,20.29349259,10.15
C3,Spain,3.771108299,615.3719962,19.76720419,12.58
C2,Spain,3.530579735,467.148585,22.81319742,10.94
C3,Spain,4.114234652,614.8757219,20.75093548,10.11
C2,Spain,3.509544559,464.772316,16.0421103,7.89
C5,Netherlands,2.553364909,241.7319613,15.15750349,4.33
C6,Netherlands,3.941774566,91.04093786,17.95089578,9.19
C2,Netherlands,4.390207501,286.63496,27.82834788,4.18
C1,Spain,2.720164152,342.107436,15.39542147,6.27
C6,Netherlands,4.228595123,90.88067101,20.63131819,7.15
C1,Spain,3.657235176,341.5723522,25.77696696,7.38
C1,Spain,2.815917308,341.7008925,15.30361048,6.78
C1,Spain,3.331546248,343.4099533,17.03929469,8.56
C1,Spain,3.113105888,343.4825949,21.4526569,9.72
C2,Spain,4.365299156,466.9728482,13.75046616,5.87
C1,Netherlands,3.643198549,127.8389713,25.92514664,3.83
C4,Spain,4.703394807,715.996747,15.84846809,11.01
C2,Netherlands,3.865817228,285.3355931,14.96982469,6.93
C5,Spain,3.490212392,454.3499837,17.06426267,9.38
C2,Netherlands,2.700795774,286.2304677,21.34470512,7.1
C3,Netherlands,3.660770684,425.6070326,26.38024625,6.56
C5,Spain,4.020967996,453.3538067,20.06501382,11.03
C1,Spain,3.69262582,341.6672322,20.60499554,12.68
C1,Spain,3.077663693,342.6721569,19.71996912,9.85
C3,Spain,3.30406641,617.1786147,20.61541746,10.7
C6,Spain,3.932190968,269.8970767,17.96712241,10.27
C1,Spain,3.557912243,341.7090242,22.23733617,11.57
C5,Spain,3.380220063,454.5017322,22.40631768,11.28
C5,Netherlands,3.891834309,241.6162591,20.46576301,10.2
C5,Spain,4.081141773,452.3079193,24.46531397,8.09
C2,Spain,4.012056483,465.4130218,21.86646728,9.15
C2,Netherlands,3.045867477,284.0469662,20.20315195,7.23
C5,Netherlands,3.907278031,242.7936759,24.17044617,6.2
C2,Spain,4.843149228,465.0783093,21.08452432,8.03
C6,Spain,3.326181742,270.5035329,15.2870685,7.34
C2,Netherlands,3.747738224,285.8709079,23.57231316,8.41
C4,Netherlands,4.652296829,370.3463432,24.2275712,6.12
C6,Spain,4.488569345,270.4683492,14.69351911,8.26
C2,Spain,3.157396929,465.8992088,23.1379059,11.44
C4,Spain,3.361778049,713.5579941,28.3813561,6
C6,Spain,4.241533103,267.7157499,23.40746511,6.89
C4,Netherlands,3.760028424,370.4104196,19.28291465,11.73
C2,Netherlands,3.764409837,285.9175444,22.4958626,8.8
C2,Netherlands,3.648573994,284.6924702,18.21335463,9.45
C2,Spain,4.758660422,466.9971529,21.8341187,8.4
C1,Spain,3.154947466,342.6245631,20.43380408,9.01
C4,Spain,3.655635653,715.3785003,21.88168062,12.17
C1,Spain,4.379560057,343.0280557,19.43796713,8.67
C5,Netherlands,3.460184082,241.2176172,16.55901773,7.35
C2,Netherlands,3.086915261,284.9430775,19.50769134,7.83
C5,Spain,4.504817039,454.4019049,20.04906159,8.17
C6,Netherlands,3.004640195,89.48039423,22.04974386,6.79
C1,Spain,3.939010048,341.0524554,18.1315179,11.33
C4,Netherlands,3.642162105,369.3453301,21.70695904,11.38
C3,Spain,4.331200522,615.8386604,17.56715102,12.29
C2,Spain,4.339429223,465.2908653,23.06724587,8.46
C5,Netherlands,3.778784523,241.1423888,22.54670779,8.53
C5,Spain,3.609259966,454.1074699,16.0171149,8.26
C5,Spain,3.21593158,453.3908202,21.16731689,10.33
C1,Spain,4.060456755,342.6760742,15.51333607,8.71
C1,Netherlands,3.957094763,128.2519151,27.58027606,4.09
C3,Netherlands,4.306631917,426.3990864,18.70116601,9
C6,Netherlands,4.09945075,90.512226,13.9543762,4.46
C1,Netherlands,3.194021558,126.6658248,20.30019371,7.15
C4,Spain,4.673544491,714.1786506,16.08196883,10.46
C4,Spain,3.642003627,713.2501254,21.7623783,12.45
C5,Spain,3.425410348,453.1281254,22.6511765,11.23
C2,Spain,3.406958895,464.9095201,24.46103916,9.26
